基準日,順位,コード,企業名,PBR
2017-01-31,1,54010,日本製鉄,0.18218712558969627
2017-01-31,2,83160,三井住友フィナンシャルグループ,0.19367899798999016
2017-01-31,3,80010,伊藤忠商事,0.21389352494859232
2017-01-31,4,87500,第一生命ホールディングス,0.21759013446895228
2017-01-31,5,69710,京セラ,0.2313949220056337
2017-01-31,6,72030,トヨタ自動車,0.25200140861677134
2017-01-31,7,82670,イオン,0.26575674715802833
2017-01-31,8,95010,東京電力ホールディングス,0.2797482770677027
2017-01-31,9,90220,東海旅客鉄道,0.282142278836293
2017-01-31,10,67580,ソニーグループ,0.2949974181267419
2017-02-28,1,54010,日本製鉄,0.1740096184143021
2017-02-28,2,83160,三井住友フィナンシャルグループ,0.19045471326238164
2017-02-28,3,80010,伊藤忠商事,0.20605762948310555
2017-02-28,4,87500,第一生命ホールディングス,0.20643727220312869
2017-02-28,5,72030,トヨタ自動車,0.2258838415624839
2017-02-28,6,69710,京セラ,0.24295680288083019
2017-02-28,7,80580,三菱商事,0.26354714984175953
2017-02-28,8,82670,イオン,0.2728931247716152
2017-02-28,9,72670,本田技研工業,0.27787503842808625
2017-02-28,10,95010,東京電力ホールディングス,0.27910220714375883
2017-03-31,1,54010,日本製鉄,0.16151064636608822
2017-03-31,2,83160,三井住友フィナンシャルグループ,0.17600417401759366
2017-03-31,3,87500,第一生命ホールディングス,0.19510100843889705
2017-03-31,4,80010,伊藤忠商事,0.20016664899065892
2017-03-31,5,72030,トヨタ自動車,0.21442107945334293
2017-03-31,6,69710,京セラ,0.24390062989105032
2017-03-31,7,80580,三菱商事,0.2501326997432798
2017-03-31,8,82670,イオン,0.26477916118356437
2017-03-31,9,72670,本田技研工業,0.26688428024434424
2017-03-31,10,99840,ソフトバンクグループ,0.2716744150245962
2017-04-28,1,54010,日本製鉄,0.14498760289582394
2017-04-28,2,83160,三井住友フィナンシャルグループ,0.17945037307868134
2017-04-28,3,87500,第一生命ホールディングス,0.18528927669813103
2017-04-28,4,80010,伊藤忠商事,0.199659897980556
2017-04-28,5,72030,トヨタ自動車,0.21417266046026556
2017-04-28,6,69710,京セラ,0.24814785143704088
2017-04-28,7,80580,三菱商事,0.24994552136981266
2017-04-28,8,72670,本田技研工業,0.25780029920091163
2017-04-28,9,82670,イオン,0.25805532835755823
2017-04-28,10,83090,三井住友トラスト・ホールディングス,0.2739518874274468
2017-05-31,1,83160,三井住友フィナンシャルグループ,0.1667395227820887
2017-05-31,2,87500,第一生命ホールディングス,0.17607955630794456
2017-05-31,3,80010,伊藤忠商事,0.19646345082636357
2017-05-31,4,80580,三菱商事,0.2030647058615539
