MonthEnd,Turnover,StocksOut,StocksIn,StocksHold,PortfolioSize
2017-02-28,20.0,2,2,8,10
2017-03-31,10.0,1,1,9,10
2017-04-28,10.0,1,1,9,10
2017-05-31,10.0,1,1,9,10
2017-06-30,10.0,1,1,9,10
2017-07-31,10.0,1,1,9,10
2017-08-31,10.0,1,1,9,10
2017-09-29,10.0,1,1,9,10
2017-10-31,10.0,1,1,9,10
2017-11-30,20.0,2,2,8,10
2017-12-29,10.0,1,1,9,10
2018-01-31,10.0,1,1,9,10
2018-02-28,0.0,0,0,10,10
2018-03-30,10.0,1,1,9,10
2018-04-27,10.0,1,1,9,10
2018-05-31,0.0,0,0,10,10
2018-06-29,0.0,0,0,10,10
2018-07-31,0.0,0,0,10,10
2018-08-31,0.0,0,0,10,10
2018-09-28,10.0,1,1,9,10
2018-10-31,0.0,0,0,10,10
2018-11-30,0.0,0,0,10,10
2018-12-28,10.0,1,1,9,10
2019-01-31,10.0,1,1,9,10
2019-02-28,10.0,1,1,9,10
2019-03-29,10.0,1,1,9,10
2019-04-26,10.0,1,1,9,10
2019-05-31,10.0,1,1,9,10
2019-06-28,10.0,1,1,9,10
2019-07-31,0.0,0,0,10,10
2019-08-30,0.0,0,0,10,10
2019-09-30,10.0,1,1,9,10
2019-10-31,0.0,0,0,10,10
2019-11-29,20.0,2,2,8,10
2019-12-30,10.0,1,1,9,10
2020-01-31,10.0,1,1,9,10
2020-02-28,10.0,1,1,9,10
2020-03-31,10.0,1,1,9,10
2020-04-30,20.0,2,2,8,10
2020-05-29,10.0,1,1,9,10
2020-06-30,10.0,1,1,9,10
2020-07-31,10.0,1,1,9,10
2020-08-31,10.0,1,1,9,10
2020-09-30,20.0,2,2,8,10
2020-10-30,10.0,1,1,9,10
2020-11-30,20.0,2,2,8,10
2020-12-30,20.0,2,2,8,10
2021-01-29,10.0,1,1,9,10
2021-02-26,20.0,2,2,8,10
2021-03-31,20.0,2,2,8,10
2021-04-30,20.0,2,2,8,10
2021-05-31,10.0,1,1,9,10
2021-06-30,10.0,1,1,9,10
2021-07-30,10.0,1,1,9,10
2021-08-31,20.0,2,2,8,10
2021-09-30,20.0,2,2,8,10
2021-10-29,10.0,1,1,9,10
2021-11-30,10.0,1,1,9,10
2021-12-30,0.0,0,0,10,10
2022-01-31,20.0,2,2,8,10
2022-02-28,0.0,0,0,10,10
2022-03-31,10.0,1,1,9,10
2022-04-28,10.0,1,1,9,10
2022-05-31,30.0,3,3,7,10
2022-06-30,10.0,1,1,9,10
2022-07-29,10.0,1,1,9,10
2022-08-31,0.0,0,0,10,10
2022-09-30,0.0,0,0,10,10
2022-10-31,10.0,1,1,9,10
2022-11-30,10.0,1,1,9,10
2022-12-30,0.0,0,0,10,10
2023-01-31,0.0,0,0,10,10
2023-02-28,10.0,1,1,9,10
2023-03-31,10.0,1,1,9,10
2023-04-28,0.0,0,0,10,10
2023-05-31,20.0,2,2,8,10
2023-06-30,20.0,2,2,8,10
2023-07-31,20.0,2,2,8,10
2023-08-31,30.0,3,3,7,10
2023-09-29,10.0,1,1,9,10
2023-10-31,10.0,1,1,9,10
2023-11-30,10.0,1,1,9,10
2023-12-29,10.0,1,1,9,10
2024-01-31,0.0,0,0,10,10
2024-02-29,10.0,1,1,9,10
2024-03-29,30.0,3,3,7,10
2024-04-30,10.0,1,1,9,10
2024-05-31,10.0,1,1,9,10
2024-06-28,20.0,2,2,8,10
2024-07-31,10.0,1,1,9,10
2024-08-30,10.0,1,1,9,10
2024-09-30,30.0,3,3,7,10
2024-10-31,0.0,0,0,10,10
2024-11-29,10.0,1,1,9,10
2024-12-30,10.0,1,1,9,10
2025-01-31,10.0,1,1,9,10
2025-02-28,0.0,0,0,10,10
2025-03-31,10.0,1,1,9,10
2025-04-30,0.0,0,0,10,10
2025-05-30,10.0,1,1,9,10
2025-06-30,0.0,0,0,10,10
2025-07-31,0.0,0,0,10,10
2025-08-29,10.0,1,1,9,10
2025-09-30,20.0,2,2,8,10
2025-10-31,30.0,3,3,7,10
2025-11-28,30.0,3,3,7,10
2025-12-30,20.0,2,2,8,10
